group,category_name,category_name_full,reference,name,filename,min_wavelength,max_wavelength,filename_no_ext
glass,SCHOTT-SF,SCHOTT - SF (Dense flint),N-SF57HTultra,N-SF57HTultra,glass/schott/N-SF57HTultra.yml,0.37,2.5,N-SF57HTultra
glass,SCHOTT-SF,SCHOTT - SF (Dense flint),N-SF64,N-SF64,glass/schott/N-SF64.yml,0.37,2.5,N-SF64
glass,SCHOTT-SF,SCHOTT - SF (Dense flint),N-SF66,N-SF66,glass/schott/N-SF66.yml,0.39,2.5,N-SF66
glass,SCHOTT-SF,SCHOTT - SF (Dense flint),P-SF8,P-SF8,glass/schott/P-SF8.yml,0.365,2.5,P-SF8
glass,SCHOTT-SF,SCHOTT - SF (Dense flint),P-SF67,P-SF67,glass/schott/P-SF67.yml,0.4,2.5,P-SF67
glass,SCHOTT-SF,SCHOTT - SF (Dense flint),P-SF68,P-SF68,glass/schott/P-SF68.yml,0.42,2.5,P-SF68
glass,SCHOTT-SF,SCHOTT - SF (Dense flint),P-SF69,P-SF69,glass/schott/P-SF69.yml,0.365,2.5,P-SF69
glass,SCHOTT-KzFS,SCHOTT - KzFS (Special short flint),KZFS12,KZFS12,glass/schott/KZFS12.yml,0.35,2.5,KZFS12
glass,SCHOTT-KzFS,SCHOTT - KzFS (Special short flint),N-KZFS2,N-KZFS2,glass/schott/N-KZFS2.yml,0.31,2.5,N-KZFS2
glass,SCHOTT-KzFS,SCHOTT - KzFS (Special short flint),N-KZFS4,N-KZFS4,glass/schott/N-KZFS4.yml,0.334,2.5,N-KZFS4
glass,SCHOTT-KzFS,SCHOTT - KzFS (Special short flint),N-KZFS4HT,N-KZFS4HT,glass/schott/N-KZFS4HT.yml,0.32,2.5,N-KZFS4HT
glass,SCHOTT-KzFS,SCHOTT - KzFS (Special short flint),KZFSN4,KZFSN4,glass/schott/KZFSN4.yml,0.31,2.5,KZFSN4
glass,SCHOTT-KzFS,SCHOTT - KzFS (Special short flint),N-KZFS5,N-KZFS5,glass/schott/N-KZFS5.yml,0.334,2.5,N-KZFS5
glass,SCHOTT-KzFS,SCHOTT - KzFS (Special short flint),N-KZFS8,N-KZFS8,glass/schott/N-KZFS8.yml,0.334,2.5,N-KZFS8
glass,SCHOTT-KzFS,SCHOTT - KzFS (Special short flint),N-KZFS11,N-KZFS11,glass/schott/N-KZFS11.yml,0.31,2.5,N-KZFS11
glass,SCHOTT-BaF,SCHOTT - BaF (Barium flint),BAFN6,BAFN6,glass/schott/BAFN6.yml,0.35,2.325,BAFN6
glass,SCHOTT-BaF,SCHOTT - BaF (Barium flint),N-BAF3,N-BAF3,glass/schott/N-BAF3.yml,0.365,2.5,N-BAF3
glass,SCHOTT-BaF,SCHOTT - BaF (Barium flint),N-BAF4,N-BAF4,glass/schott/N-BAF4.yml,0.365,2.5,N-BAF4
